Model Group,OCT Sales,NOV Sales,DEC Sales,Avg Mth Sales,MTD,Dealer Stock,D/S,ETA in 30 Days,ETA in 60 Days,ETA in 90 Days,ETA in 90+ Days,ETA TBD,Total Avail
2001 - SONATA,0,1,1,1,0,2,90,1,1,0,0,0,4
2025 29412F4S SONATA SE,0,1,0,0,0,0,0,0,0,0,0,0,0
2026 29412F4S SONATA SE,0,0,0,0,0,1,0,0,1,0,0,0,2
2026 29442A4S SONATA SEL SPORT AWD,0,0,1,0,0,1,90,1,0,0,0,0,2
2006 - SONATA HEV,0,2,0,1,0,1,45,0,1,0,0,0,2
2025 294D2FBS SONATA HYBRID SEL,0,0,0,0,0,1,0,0,0,0,0,0,1
2025 294G2FBS SONATA HYBRID LIMITED,0,2,0,1,0,0,0,0,0,0,0,0,0
2026 294G2FBS SONATA HYBRID LIMITED,0,0,0,0,0,0,0,0,1,0,0,0,1
3001 - VENUE,0,0,0,0,1,1,0,0,0,0,0,0,1
2026 30422F45 VENUE SEL,0,0,0,0,1,1,0,0,0,0,0,0,1
4001 - ELANTRA,0,1,4,2,1,4,72,0,0,0,0,0,4
2025 494E2F4S ELANTRA SE,0,1,4,2,1,0,0,0,0,0,0,0,0
2025 494G2F4S ELANTRA SEL SPORT,0,0,0,0,0,3,0,0,0,0,0,0,3
2025 494J2F4S ELANTRA LIMITED,0,0,0,0,0,1,0,0,0,0,0,0,1
4006 - ELANTRA HEV,0,1,0,0,0,4,360,0,0,0,0,0,4
2025 494C2FBS ELANTRA HYBRID BLUE,0,1,0,0,0,1,90,0,0,0,0,0,1
2025 494D2FBS ELANTRA HYBRID LIMITED,0,0,0,0,0,2,0,0,0,0,0,0,2
2026 494C2FBS ELANTRA HYBRID BLUE,0,0,0,0,0,1,0,0,0,0,0,0,1
4008 - ELANTRA N,0,0,0,0,0,1,0,0,0,0,0,0,1
2025 4N4A3FT5 ELANTRA N M/T,0,0,0,0,0,1,0,0,0,0,0,0,1
5004 - IONIQ 5,0,0,0,0,0,1,0,1,0,0,0,0,2
"2026 51442AEZ IONIQ 5 AWD 19"" WHEELS SEL",0,0,0,0,0,0,0,1,0,0,0,0,1
"2026 51462AEZ IONIQ 5 AWD 20"" WHEELS LIMITED",0,0,0,0,0,1,0,0,0,0,0,0,1
6001 - SANTA FE,3,1,1,2,1,12,216,1,1,0,0,0,14
2025 65492AT5 SANTA FE LIMITED 2.5T AWD,2,0,0,1,0,0,0,0,0,0,0,0,0
2026 65402AT5 SANTA FE SE 2.5T AWD,0,0,0,0,0,2,0,0,1,0,0,0,3
2026 65432AT5 SANTA FE SEL 2.5T AWD,0,1,0,0,1,3,270,0,0,0,0,0,3
2026 65462AT5 SANTA FE XRT 2.5T AWD,0,0,0,0,0,4,0,0,0,0,0,0,4
2026 65492AT5 SANTA FE LIMITED 2.5T AWD,0,0,0,0,0,1,0,1,0,0,0,0,2
2026 654C2AT5 SANTA FE CALLIGRAPHY 2.5T AWD,1,0,1,1,0,2,90,0,0,0,0,0,2
6006 - SANTA FE HEV,0,3,3,2,0,10,150,0,2,0,0,0,12
2025 654F2ABS SANTA FE HYBRID SEL AWD,0,1,0,0,0,0,0,0,0,0,0,0,0
2026 654E2ABS SANTA FE HYBRID SE AWD,0,0,0,0,0,5,0,0,1,0,0,0,6
2026 654F2ABS SANTA FE HYBRID SEL AWD,0,0,1,0,0,5,450,0,1,0,0,0,6
2026 654J2ABS SANTA FE HYBRID LIMITED AWD,0,1,2,1,0,0,0,0,0,0,0,0,0
2026 654M2ABS SANTA FE HYBRID CALLIGRAPHY AWD,0,1,0,0,0,0,0,0,0,0,0,0,0
8001 - TUCSON,2,5,5,4,0,11,82.5,1,5,0,0,1,18
2025 85432A4S TUCSON SEL AWD,0,1,0,0,0,0,0,0,0,0,0,0,0
2025 85442A4S TUCSON XRT AWD,1,0,1,1,0,0,0,0,0,0,0,0,0
2025 85462A4S TUCSON SEL CONVENIENCE AWD,1,1,0,1,0,0,0,0,0,0,0,0,0
2026 85402A4S TUCSON SE AWD,0,1,-1,0,0,1,0,0,3,0,0,1,5
2026 85432A4S TUCSON SEL AWD,0,0,0,0,0,1,0,0,1,0,0,0,2
2026 85442A4S TUCSON XRT AWD,0,0,2,1,0,5,225,0,1,0,0,0,6
2026 85462A4S TUCSON SEL PREMIUM AWD,0,0,0,0,0,1,0,0,0,0,0,0,1
2026 85472A4S TUCSON LIMITED AWD,0,2,3,2,0,3,54,1,0,0,0,0,4
8006 - TUCSON HEV,7,7,4,6,0,10,50,9,0,0,0,0,19
2025 854C2ABS TUCSON HYBRID BLUE AWD,1,2,3,2,0,0,0,0,0,0,0,0,0
2025 854D2ABS TUCSON HYBRID SEL CONVENIENCE AWD,2,1,0,1,0,0,0,0,0,0,0,0,0
2026 854E2ABS TUCSON HYBRID LIMITED AWD,3,3,1,2,0,8,102.9,6,0,0,0,0,14
2026 854H2ABS TUCSON HYBRID SEL AWD,1,1,0,1,0,2,90,3,0,0,0,0,5
9001 - SANTA CRUZ,2,1,0,1,0,7,210,3,0,0,0,0,10
2025 90492A45 SANTA CRUZ SEL ACTIVITY AWD,1,0,0,0,0,2,180,0,0,0,0,0,2
2026 90402A45 SANTA CRUZ SE AWD,0,0,0,0,0,1,0,1,0,0,0,0,2
2026 90432A45 SANTA CRUZ SEL AWD,1,0,0,0,0,0,0,0,0,0,0,0,0
2026 90462AT5 SANTA CRUZ XRT AWD,0,0,0,0,0,1,0,1,0,0,0,0,2
2026 90472AT5 SANTA CRUZ LIMITED AWD,0,1,0,0,0,3,270,1,0,0,0,0,4
J001 - PALISADE,4,3,5,4,0,9,67.5,5,5,0,0,0,19
2025 J1492A65 PALISADE CALLIGRAPHY NIGHT EDITION AWD,0,0,1,0,0,0,0,0,0,0,0,0,0
2026 J2412A65 PALISADE SE AWD,0,0,0,0,0,0,0,1,1,0,0,0,2
2026 J2432A65 PALISADE SEL PREMIUM 7P AWD,0,0,0,0,0,6,0,3,0,0,0,0,9
2026 J2442A65 PALISADE SEL 7P AWD,1,0,0,0,0,0,0,0,0,0,0,0,0
2026 J2452A65 PALISADE XRT PRO AWD,1,1,2,1,0,1,22.5,0,2,0,0,0,3
2026 J2472A65 PALISADE LIMITED AWD,0,0,0,0,0,1,0,0,1,0,0,0,2
2026 J2492A65 PALISADE CALLIGRAPHY AWD,2,2,2,2,0,1,15,1,1,0,0,0,3
J006 - PALISADE HEV,3,1,4,3,0,4,45,6,11,0,0,3,24
2026 J24A2A4T PALISADE HYBRID SEL 7P AWD,0,0,0,0,0,0,0,0,2,0,0,0,2
2026 J24C2A4T PALISADE HYBRID SEL PREMIUM 7P AWD,0,0,0,0,0,0,0,2,2,0,0,0,4
2026 J24D2A4T PALISADE HYBRID SEL PREMIUM 8P AWD,1,0,1,1,0,0,0,1,3,0,0,1,5
2026 J24G2A4T PALISADE HYBRID LIMITED AWD,0,0,1,0,0,0,0,2,2,0,0,2,6
2026 J24H2A4T PALISADE HYBRID CALLIGRAPHY AWD,2,1,2,2,0,4,72,1,2,0,0,0,7
Q001 - KONA,1,3,5,3,2,6,60,4,2,0,0,0,12
2025 Q1432A45 KONA SEL AWD,0,1,0,0,0,0,0,0,0,0,0,0,0
2026 Q1402A45 KONA SE AWD,0,0,2,1,2,3,135,0,0,0,0,0,3
2026 Q1412A45 KONA SEL SPORT AWD,1,0,2,1,0,1,30,0,0,0,0,0,1
2026 Q1422AT5 KONA SEL PREMIUM AWD,0,2,0,1,0,1,45,0,0,0,0,0,1
2026 Q1492AT5 KONA LIMITED AWD,0,0,1,0,0,0,0,1,1,0,0,0,2
2026 Q14J2A45 KONA SEL SPORT AWD,0,0,0,0,0,0,0,1,0,0,0,0,1
2026 Q14L2AT5 KONA SEL PREMIUM AWD,0,0,0,0,0,1,0,2,1,0,0,0,4
Grand Total,22,29,32,28,5,83,90,31,28,0,0,4,146
