Model Group,Model Group Total,Dealer Stock,In Transit,Port,At Sea,Pre Prod
2001 - SONATA,3,2,0,0,0,1
2025 29412F4S SONATA SE,1,1,0,0,0,0
2025 29442A4S SONATA SEL AWD,1,1,0,0,0,0
2026 29442A4S SONATA SEL SPORT AWD,1,0,0,0,0,1
2006 - SONATA HEV,4,4,0,0,0,0
2025 294D2FBS SONATA HYBRID SEL,2,2,0,0,0,0
2025 294G2FBS SONATA HYBRID LIMITED,2,2,0,0,0,0
3001 - VENUE,2,1,0,0,0,1
2026 30422F45 VENUE SEL,2,1,0,0,0,1
4001 - ELANTRA,10,10,0,0,0,0
2025 494E2F4S ELANTRA SE,6,6,0,0,0,0
2025 494G2F4S ELANTRA SEL SPORT,3,3,0,0,0,0
2025 494J2F4S ELANTRA LIMITED,1,1,0,0,0,0
4006 - ELANTRA HEV,5,4,0,0,0,1
2025 494C2FBS ELANTRA HYBRID BLUE,2,2,0,0,0,0
2025 494D2FBS ELANTRA HYBRID LIMITED,2,2,0,0,0,0
2026 494C2FBS ELANTRA HYBRID BLUE,1,0,0,0,0,1
5004 - IONIQ 5,1,0,0,1,0,0
"2026 51462AEZ IONIQ 5 AWD 20"" WHEELS LIMITED",1,0,0,1,0,0
6001 - SANTA FE,16,4,8,0,0,4
2026 65402AT5 SANTA FE SE 2.5T AWD,2,1,1,0,0,0
2026 65432AT5 SANTA FE SEL 2.5T AWD,5,2,3,0,0,0
2026 65462AT5 SANTA FE XRT 2.5T AWD,4,1,3,0,0,0
2026 65492AT5 SANTA FE LIMITED 2.5T AWD,2,0,0,0,0,2
2026 654C2AT5 SANTA FE CALLIGRAPHY 2.5T AWD,3,0,1,0,0,2
6006 - SANTA FE HEV,15,13,0,0,0,2
2025 654F2ABS SANTA FE HYBRID SEL AWD,1,1,0,0,0,0
2026 654E2ABS SANTA FE HYBRID SE AWD,5,5,0,0,0,0
2026 654F2ABS SANTA FE HYBRID SEL AWD,6,6,0,0,0,0
2026 654J2ABS SANTA FE HYBRID LIMITED AWD,3,1,0,0,0,2
8001 - TUCSON,21,6,6,3,0,6
2025 85432A4S TUCSON SEL AWD,1,1,0,0,0,0
2025 85442A4S TUCSON XRT AWD,1,1,0,0,0,0
2025 85462A4S TUCSON SEL CONVENIENCE AWD,1,1,0,0,0,0
2026 85402A4S TUCSON SE AWD,1,0,1,0,0,0
2026 85432A4S TUCSON SEL AWD,1,0,0,0,0,1
2026 85442A4S TUCSON XRT AWD,7,0,1,2,0,4
2026 85462A4S TUCSON SEL PREMIUM AWD,1,0,0,0,0,1
2026 85472A4S TUCSON LIMITED AWD,8,3,4,1,0,0
8006 - TUCSON HEV,17,17,0,0,0,0
2025 854C2ABS TUCSON HYBRID BLUE AWD,6,6,0,0,0,0
2025 854D2ABS TUCSON HYBRID SEL CONVENIENCE AWD,1,1,0,0,0,0
2026 854E2ABS TUCSON HYBRID LIMITED AWD,8,8,0,0,0,0
2026 854H2ABS TUCSON HYBRID SEL AWD,2,2,0,0,0,0
9001 - SANTA CRUZ,11,2,3,2,0,4
2025 90492A45 SANTA CRUZ SEL ACTIVITY AWD,2,2,0,0,0,0
2026 90402A45 SANTA CRUZ SE AWD,2,0,0,1,0,1
2026 90462AT5 SANTA CRUZ XRT AWD,2,0,0,0,0,2
2026 90472AT5 SANTA CRUZ LIMITED AWD,5,0,3,1,0,1
J001 - PALISADE,18,4,3,0,1,10
2025 J1492A65 PALISADE CALLIGRAPHY NIGHT EDITION AWD,1,1,0,0,0,0
2026 J2412A65 PALISADE SE AWD,2,0,0,0,0,2
2026 J2432A65 PALISADE SEL PREMIUM 7P AWD,6,0,0,0,0,6
2026 J2452A65 PALISADE XRT PRO AWD,3,2,1,0,0,0
2026 J2492A65 PALISADE CALLIGRAPHY AWD,6,1,2,0,1,2
J006 - PALISADE HEV,8,3,3,0,0,2
2026 J24H2A4T PALISADE HYBRID CALLIGRAPHY AWD,8,3,3,0,0,2
Q001 - KONA,16,14,0,0,0,2
2025 Q1432A45 KONA SEL AWD,1,1,0,0,0,0
2026 Q1402A45 KONA SE AWD,6,6,0,0,0,0
2026 Q1412A45 KONA SEL SPORT AWD,3,3,0,0,0,0
2026 Q1422AT5 KONA SEL PREMIUM AWD,3,3,0,0,0,0
2026 Q1492AT5 KONA LIMITED AWD,2,1,0,0,0,1
2026 Q14L2AT5 KONA SEL PREMIUM AWD,1,0,0,0,0,1
Grand Total,147,84,23,6,1,33
