Age,Vehi,cle,,Stock #,VIN,Odometer,MSRP,% of MSRP,Dealer Discounted,"Designated
Cost",Invoice,Profit,Price,"Total Customer
Incentives"
503,2024,Hyundai,IONIQ 5 SEL,H6942,KM8KNDDF8RU310334,6,"$53,810 ",83%,"$44,872 ","$46,608 ","$53,788 ","($1,736)","$44,872 ",$0 
483,2024,Hyundai,Sonata Hybrid SEL,H6967,KMHL34JJ7RA099728,5,"$33,070 ",97%,"$29,657 ","$30,643 ","$32,068 ",($986),"$32,069 ",$0 
434,2025,Hyundai,Santa Cruz SEL,H6998,5NTJCDDE0SH127248,11,"$36,770 ",94%,"$35,450 ","$36,147 ","$35,449 ",($697),"$34,450 ","$1,000 "
421,2025,Hyundai,Sonata Hybrid SEL,H7028,KMHL34JJ8SA108443,6,"$33,180 ",91%,"$32,181 ","$32,507 ","$32,180 ",($326),"$30,181 ","$2,000 "
355,2025,Hyundai,Tucson XRT,H7086,5NMJFCDEXSH496695,5,"$36,415 ",90%,"$35,120 ","$35,394 ","$35,119 ",($274),"$32,620 ","$2,500 "
345,2025,Hyundai,Kona SEL,H7106,KM8HBCAB1SU238400,9,"$29,900 ",89%,"$28,749 ","$29,848 ","$28,748 ","($1,099)","$26,749 ","$2,000 "
329,2025,Hyundai,Elantra Limited,H7113,KMHLP4DGXSU941714,5,"$28,630 ",94%,"$27,640 ","$27,914 ","$27,639 ",($274),"$26,890 ",$750 
304,2025,Hyundai,Tucson SEL,H7155,3KMJBCDE8SE013589,5,"$34,135 ",88%,"$32,911 ","$33,335 ","$32,910 ",($424),"$29,911 ","$3,000 "
276,2025,Hyundai,Tucson SEL Convenience,H7165,3KMJCCDE2SE019756,5,"$36,485 ",88%,"$35,184 ","$35,458 ","$35,183 ",($274),"$32,184 ","$3,000 "
251,2025,Hyundai,Santa Cruz SEL,H7190,5NTJCDDE9SH143805,5,"$36,880 ",94%,"$35,568 ","$35,842 ","$35,567 ",($274),"$34,568 ","$1,000 "
218,2025,Hyundai,Sonata Hybrid Limited,H7204,KMHL54JJ2SA126057,5,"$40,193 ",92%,"$38,949 ","$39,223 ","$38,948 ",($274),"$36,949 ","$2,000 "
205,2025,Hyundai,Palisade Calligraphy Night Edition,H7209,KM8R7DGE9SU943085,5,"$56,840 ",89%,"$54,434 ","$54,708 ","$54,433 ",($274),"$50,684 ","$3,750 "
176,2025,Hyundai,Sonata Hybrid SEL,H7218,KMHL34JJ0SA126760,5,"$33,748 ",91%,"$32,728 ","$33,002 ","$32,727 ",($274),"$30,728 ","$2,000 "
145,2025,Hyundai,Elantra SE,H7232,KMHLL4DG5SU032520,5,"$24,440 ",94%,"$23,832 ","$22,256 ","$23,831 ","$1,576 ","$23,082 ",$750 
139,2025,Hyundai,Santa Fe Hybrid SEL,H7234,5NMP2DG18SH070766,8,"$42,460 ",87%,"$41,140 ","$41,414 ","$41,139 ",($274),"$36,890 ","$4,250 "
135,2025,Hyundai,Tucson Hybrid Blue,H7237,KM8JBDD14SU372392,5,"$35,460 ",89%,"$34,454 ","$34,728 ","$34,453 ",($274),"$31,454 ","$3,000 "
107,2025,Hyundai,Elantra Hybrid Limited,H7250,KMHLN4DJ7SU176141,6,"$31,655 ",89%,"$30,724 ","$31,023 ","$30,723 ",($299),"$28,224 ","$2,500 "
107,2025,Hyundai,Tucson Hybrid Blue,H7251,KM8JBDD13SU384680,6,"$36,080 ",89%,"$34,970 ","$35,244 ","$34,969 ",($274),"$31,970 ","$3,000 "
107,2025,Hyundai,Tucson Hybrid Blue,H7253,KM8JBDD14SU384428,6,"$36,580 ",89%,"$35,450 ","$35,749 ","$35,449 ",($299),"$32,450 ","$3,000 "
107,2025,Hyundai,Tucson Hybrid Blue,H7255,KM8JBDD16SU384608,6,"$36,160 ",89%,"$35,037 ","$35,336 ","$35,036 ",($299),"$32,037 ","$3,000 "
107,2025,Hyundai,Tucson Hybrid Blue,H7256,KM8JBDD17SU383810,6,"$36,215 ",89%,"$35,121 ","$35,545 ","$35,120 ",($424),"$32,121 ","$3,000 "
107,2025,Hyundai,Tucson Hybrid Blue,H7257,KM8JBDD1XSU385437,6,"$36,080 ",89%,"$34,973 ","$35,272 ","$34,972 ",($299),"$31,973 ","$3,000 "
69,2025,Hyundai,Elantra SEL Sport,H7273,KMHLM4DG4SU073010,11,"$25,135 ",94%,"$24,283 ","$24,732 ","$24,282 ",($449),"$23,533 ",$750 
69,2025,Hyundai,Elantra Hybrid Blue,H7276,KMHLM4DJ4SU177931,6,"$27,305 ",88%,"$26,522 ","$26,971 ","$26,521 ",($449),"$24,022 ","$2,500 "
69,2025,Hyundai,Elantra Hybrid Blue,H7277,KMHLM4DJXSU177867,6,"$27,260 ",88%,"$26,483 ","$26,932 ","$26,482 ",($449),"$23,983 ","$2,500 "
61,2025,Hyundai,Elantra SE,H7284,KMHLL4DG6SU072055,11,"$24,495 ",94%,"$23,892 ","$24,341 ","$23,891 ",($449),"$23,142 ",$750 
61,2025,Hyundai,Sonata SE,H7283,KMHL24JA0SA511464,6,"$28,730 ",89%,"$27,459 ","$27,908 ","$27,458 ",($449),"$25,709 ","$1,750 "
