MY,Model,Description,Package,Generic Color,Color
2026,494M2F4S,ELANTRA LIMITED,01-Standard,INTENSE BLUE,YP5 / TVN
2026,494M2F4S,ELANTRA LIMITED,01-Standard,SERENITY WHITE,W6H / TVN
2026,494G2F4S,ELANTRA SEL SPORT,01-Standard,ECOTRONIC GRAY,PE2 / YFR
2026,494K2F4S,ELANTRA SEL SPORT PREMIUM,01-Standard,AMAZON GRAY,A5G / NNB
2026,494K2F4S,ELANTRA SEL SPORT PREMIUM,01-Standard,ABYSS BLACK,A2B / YFR
2026,494K2F4S,ELANTRA SEL SPORT PREMIUM,01-Standard,SERENITY WHITE,W6H / YFR
2026,494K2F4S,ELANTRA SEL SPORT PREMIUM,01-Standard,ABYSS BLACK,A2B / NNB
2026,Q1492AT5,KONA LIMITED AWD,01-Standard,DENIM BLUE,TN6 / YPK
2026,Q1402A45,KONA SE AWD,01-Standard,NEOTERIC YELLOW,YYY / NNB
2026,Q1402A45,KONA SE AWD,01-Standard,CYBER GRAY,C5G / YPK
2026,Q1402A45,KONA SE AWD,01-Standard,ULTIMATE RED,R2P / YPK
2026,Q14L2AT5,KONA SEL PREMIUM AWD,01-Standard,ECOTRONIC GRAY,PE2 / NNB
2026,Q14J2A45,KONA SEL SPORT AWD,01-Standard,ATLAS WHITE,SAW / NNB
2026,J2462A65,PALISADE SEL 8P AWD,01-STANDARD,ECOTRONIC GRAY,PE2 / PNY
2026,J2462A65,PALISADE SEL 8P AWD,01-STANDARD,ECOTRONIC GRAY,PE2 / NNB
2026,J2462A65,PALISADE SEL 8P AWD,01-STANDARD,ECOTRONIC GRAY,PE2 / NNB
2026,J2432A65,PALISADE SEL PREMIUM 7P AWD,01-STANDARD,TITAN CHARCOAL,TCP / PNY
2026,J2432A65,PALISADE SEL PREMIUM 7P AWD,01-STANDARD,ECOTRONIC GRAY,PE2 / NNB
2026,J2452A65,PALISADE XRT PRO AWD,01-STANDARD,ABYSS BLACK,A2B / XRT
2026,J2452A65,PALISADE XRT PRO AWD,01-STANDARD,EARTHY BRASS,YBM / XRT
2026,90492A45,SANTA CRUZ SEL ACTIVITY AWD,01-Standard,ROCKWOOD GREEN,WG2 / NNB
2026,90432A45,SANTA CRUZ SEL AWD,01-Standard,ATLAS WHITE,SAW / NNB
2026,90432A45,SANTA CRUZ SEL AWD,01-Standard,ATLAS WHITE,SAW / NNB
2026,654M2ABS,SANTA FE HYBRID CALLIGRAPHY AWD,01-STANDARD,SERENITY WHITE,W6H / YTH
2026,654E2ABS,SANTA FE HYBRID SE AWD,01-STANDARD,SHIMMERING SILVER,R2T / NNB
2026,654E2ABS,SANTA FE HYBRID SE AWD,01-STANDARD,SHIMMERING SILVER,R2T / YTH
